"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",66.038,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",259.615,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",300.176,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",99.559,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",573.418,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",235.138,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",56.835,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",197.825,
"DEU","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",319.86,
"GRC","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",514.084,
"HUN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",723.006,
"ISL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",44.9,
"IRL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",101.881,
"ITA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",391.078,
"JPN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",297.506,
"KOR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",384.056,
"LUX","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",140.865,
"MEX","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",276.518,
"NLD","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",266.8,
"NZL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",57.786,
"NOR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",71.837,
"POL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",712.406,
"PRT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",204.468,
"SVK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",614.312,
"ESP","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",184.699,
"SWE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",66.438,
"CHE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",155.245,
"TUR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",511.046,
"GBR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",212.957,
"USA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",140.084,
"G7M","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",214.998,
"AFG","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",216.683,
"ALB","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",515.221,
"DZA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",489.656,
"AGO","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",160.841,
"ARG","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",289.129,
"ARM","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",1067.043,
"AZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",796.411,
"BHR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",364.223,
"BGD","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",405.744,
"BLR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",900.158,
"BEN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",190.233,
"BTN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",333.861,
"BOL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",327.471,
"BIH","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",1062.029,
"BWA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",400.925,
"BRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",199.88,
"BRN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",78.109,
"BGR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",1267.014,
"BFA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",164.088,
"BDI","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",81.755,
"KHM","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",194.386,
"CMR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",378.304,
"CAF","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",188.848,
"TCD","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",161.002,
"CHL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",288.44,
"CHN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",950.31,
